withKubearmor,1000000,83257.02,0.309,12.01
withKubearmor,1000000,82863.77,0.310,12.07
withKubearmor,1000000,83250.09,0.308,12.01
withKubearmor,1000000,83906.70,0.306,11.92
withKubearmor,1000000,83633.02,0.307,11.96
withKubearmor,1000000,82966.89,0.309,12.05
withKubearmor,1000000,83963.05,0.306,11.91
withKubearmor,1000000,83160.09,0.309,12.02
withKubearmor,1000000,84210.52,0.305,11.88
withKubearmor,1000000,83458.52,0.308,11.98

withPolicy,1000000,83556.15,0.307,11.97
withPolicy,1000000,82596.84,0.311,12.11
withPolicy,1000000,83153.17,0.309,12.03
withPolicy,1000000,82843.18,0.310,12.07
withPolicy,1000000,82946.25,0.310,12.06
withPolicy,1000000,82706.15,0.311,12.09
withPolicy,1000000,82182.77,0.313,12.17
withPolicy,1000000,82884.38,0.310,12.06
withPolicy,1000000,82850.05,0.310,12.07
withPolicy,1000000,82596.84,0.311,12.11


