withKubearmor,1000000,83257.02,0.309,12.01
withKubearmor,1000000,82863.77,0.310,12.07
withKubearmor,1000000,83250.09,0.308,12.01
withKubearmor,1000000,83906.70,0.306,11.92
withKubearmor,1000000,83633.02,0.307,11.96
withKubearmor,1000000,82966.89,0.309,12.05
withKubearmor,1000000,83963.05,0.306,11.91
withKubearmor,1000000,83160.09,0.309,12.02
withKubearmor,1000000,84210.52,0.305,11.88
withKubearmor,1000000,83458.52,0.308,11.98

withPolicy,1000000,82781.46,0.311,12.08
withPolicy,1000000,83008.22,0.310,12.05
withPolicy,1000000,82884.38,0.310,12.06
withPolicy,1000000,81873.27,0.313,12.21
withPolicy,1000000,82515.05,0.311,12.12
withPolicy,1000000,82829.45,0.310,12.07
withPolicy,1000000,83028.90,0.309,12.04
withPolicy,1000000,82365.54,0.312,12.14
withPolicy,1000000,82433.44,0.312,12.13
withPolicy,1000000,82433.44,0.312,12.13


