withKubearmor,1000000,83257.02,0.309,12.01
withKubearmor,1000000,82863.77,0.310,12.07
withKubearmor,1000000,83250.09,0.308,12.01
withKubearmor,1000000,83906.70,0.306,11.92
withKubearmor,1000000,83633.02,0.307,11.96
withKubearmor,1000000,82966.89,0.309,12.05
withKubearmor,1000000,83963.05,0.306,11.91
withKubearmor,1000000,83160.09,0.309,12.02
withKubearmor,1000000,84210.52,0.305,11.88
withKubearmor,1000000,83458.52,0.308,11.98

withPolicy,1000000,82528.68,0.311,12.12
withPolicy,1000000,83180.84,0.309,12.02
withPolicy,1000000,82250.37,0.312,12.16
withPolicy,1000000,82966.89,0.310,12.05
withPolicy,1000000,83521.26,0.308,11.97
withPolicy,1000000,82569.56,0.311,12.11
withPolicy,1000000,82733.52,0.310,12.09
withPolicy,1000000,83388.93,0.308,11.99
withPolicy,1000000,84068.93,0.306,11.90
withPolicy,1000000,83063.38,0.310,12.04


